Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.96902E-11,0.000000004,0.000000201,1,0,0
9.41498E-11,0.000000013,0.000000477,0.999907936,0,0
1.54234E-10,0.000000039,0.000000782,0.999723808,0,0
2.30966E-10,0.000000104,0.000001171,0.999447616,0,0
3.39619E-10,0.000000281,0.000001722,0.998895231,0,0
7.42056E-10,0.000001067,0.000003763,0.997606334,0,0
1.15665E-9,0.000002579,0.000005866,0.996133309,0,0
2.64224E-9,0.000010002,0.0000134,0.992450746,0,0
4.39976E-9,0.000025158,0.000022314,0.98849199,0,0
6.82831E-9,0.000050565,0.00003463,0.984349107,0,0
1.26211E-8,0.000100857,0.000064008,0.979469711,0,0
2.34316E-8,0.000252159,0.00011883,0.971736328,0,0
4.04921E-8,0.000503814,0.000205341,0.964555331,0,0
6.37954E-8,0.001005755,0.000323495,0.955625115,0,0
1.21648E-7,0.002507013,0.000616767,0.940066286,0,0
2.04043E-7,0.005018463,0.001034301,0.92570429,0,0
3.47233E-7,0.010030321,0.001759496,0.908672436,0,0
6.65169E-7,0.025016002,0.003367822,0.881145277,0,0
1.13495E-6,0.05008627,0.005739529,0.855275272,0.002016129,0
1.89983E-6,0.100145085,0.00958902,0.823973486,0.003024194,0
3.39505E-6,0.200297588,0.017071132,0.788528816,0.005040323,0
4.64968E-6,0.30027797,0.02330568,0.765604861,0.006048387,0
5.83321E-6,0.400488125,0.029150661,0.748020622,0.008064516,0
6.83737E-6,0.500682455,0.034082409,0.733566562,0.008064516,0
7.7743E-6,0.600194254,0.038661348,0.721045848,0.008064516,0
8.553E-6,0.700419324,0.042450466,0.709721966,0.008064516,0
8.93392E-6,0.750356715,0.044298529,0.704474314,0.008064516,0
9.32417E-6,0.800611291,0.046188216,0.69941079,0.009072581,0
1.00445E-5,0.900440632,0.049666612,0.68992819,0.009072581,0
1.07127E-5,1.000864601,0.052881286,0.680997975,0.009072581,0
1.12815E-5,1.101037155,0.05560995,0.672620144,0.01108871,0
1.19089E-5,1.200915199,0.058609792,0.664702633,0.01108871,0
1.24897E-5,1.301090443,0.061378907,0.657153379,0.013104839,0
1.3007E-5,1.400700617,0.06383838,0.649972381,0.015120968,0
1.36406E-5,1.50096465,0.066841655,0.643067575,0.015120968,0
1.49951E-5,1.750406884,0.073230217,0.627048426,0.016129032,0
1.64624E-5,2.000710748,0.080101052,0.612318173,0.018145161,0
1.80129E-5,2.251446742,0.087306669,0.598876818,0.019153226,0
1.96455E-5,2.500207538,0.094832469,0.58672436,0.022177419,0
2.13026E-5,2.751422367,0.102407821,0.575400479,0.025201613,0
2.28348E-5,3.00074383,0.109355539,0.564997238,0.025201613,0
2.42683E-5,3.250260007,0.115807478,0.555238446,0.026209677,0
2.57947E-5,3.500564204,0.122625951,0.546032038,0.026209677,0
2.71653E-5,3.752212357,0.128703207,0.537285951,0.026209677,0
2.84707E-5,4.002726357,0.134452945,0.529000184,0.028225806,0
2.9841E-5,4.250436513,0.140447359,0.521174738,0.030241935,0
3.16912E-5,4.503088545,0.148475374,0.513625483,0.033266129,0
3.33098E-5,4.753052823,0.155436574,0.506536549,0.035282258,0
3.47806E-5,5.000791056,0.161713071,0.499815872,0.039314516,0
3.64633E-5,5.250629271,0.168836703,0.493371386,0.039314516,0
3.80525E-5,5.500130302,0.175508812,0.487203093,0.039314516,0
4.01697E-5,5.75093369,0.184314501,0.481310992,0.041330645,0
4.14478E-5,6.003843684,0.18958501,0.47560302,0.04233871,0
4.31832E-5,6.253956883,0.196686339,0.470079175,0.043346774,0
4.47954E-5,6.500469329,0.203227668,0.465015651,0.045362903,0
4.64891E-5,6.751157427,0.210042829,0.459952127,0.049395161,0
4.84653E-5,7.00290922,0.217920492,0.455072731,0.052419355,0
4.99806E-5,7.25372115,0.223907936,0.450377463,0.053427419,0
5.10653E-5,7.501395568,0.228165618,0.445866323,0.053427419,0
5.26153E-5,7.755070329,0.234209077,0.441355183,0.054435484,0
5.36195E-5,8.004453527,0.23809954,0.437028172,0.059475806,0
5.48976E-5,8.254080655,0.243022112,0.432793224,0.064516129,0
5.65376E-5,8.505620366,0.249292137,0.428650341,0.066532258,0
5.76455E-5,8.75125069,0.253498693,0.424691585,0.066532258,0
5.89373E-5,9.001773841,0.258373313,0.42073283,0.069556452,0
5.99773E-5,9.251435767,0.262274834,0.416866139,0.070564516,0
6.08856E-5,9.505288865,0.265665145,0.412999448,0.071572581,0
6.21961E-5,9.751459806,0.27052986,0.409316885,0.07358871,0
6.31622E-5,10.002256396,0.274095284,0.405634321,0.077620968,0
6.42186E-5,10.250598324,0.277973895,0.402043823,0.079637097,0
6.542E-5,10.503307917,0.282359923,0.398453324,0.08266129,0
6.64157E-5,10.753530893,0.285974838,0.394954889,0.08266129,0
6.75993E-5,11.001541798,0.290248328,0.391548518,0.08266129,0
6.8527E-5,11.253529038,0.293579522,0.388142147,0.08266129,0
6.97763E-5,11.502630034,0.298041487,0.38482784,0.083669355,0
7.12384E-5,11.756190949,0.303227305,0.381513533,0.084677419,0
7.23778E-5,12.007634997,0.307242016,0.378291291,0.085685484,0
7.30631E-5,12.254980256,0.309645626,0.375161112,0.087701613,0
7.40502E-5,12.505005711,0.313093308,0.372030934,0.092741935,0
7.49676E-5,12.750742453,0.316281872,0.368992819,0.092741935,0
7.60159E-5,13.000060783,0.319907201,0.365954704,0.095766129,0
7.68606E-5,13.252419927,0.322814595,0.36291659,0.097782258,0
7.7765E-5,13.507717223,0.325913388,0.359878475,0.100806452,0
7.86188E-5,13.750043224,0.328826128,0.357024489,0.100806452,0
7.96672E-5,14.0033132,0.332385194,0.354078439,0.101814516,0
8.11158E-5,14.252656956,0.337272117,0.351224452,0.102822581,0
8.24909E-5,14.505770924,0.341877939,0.348370466,0.106854839,0
8.35225E-5,14.76309299,0.345312123,0.345516479,0.108870968,0
8.49203E-5,15.007539787,0.349936878,0.342846621,0.108870968,0
8.60154E-5,15.255270407,0.353537345,0.340176763,0.111895161,0
8.72975E-5,15.506731661,0.35772733,0.337506905,0.112903226,0
8.8199E-5,15.75242797,0.360657128,0.334929111,0.114919355,0
8.94833E-5,16.001550744,0.364807813,0.332351317,0.116935484,0
9.07952E-5,16.253804263,0.369020084,0.329773522,0.116935484,0
9.18671E-5,16.500559223,0.372440944,0.327287792,0.116935484,0
9.28167E-5,16.759088825,0.375456221,0.324709998,0.118951613,0
9.41062E-5,17.002067637,0.379527236,0.322316332,0.119959677,0
9.51229E-5,17.257765823,0.382718434,0.319830602,0.122983871,0
9.58332E-5,17.505982773,0.384938078,0.317436936,0.123991935,0
9.66565E-5,17.756065428,0.387500902,0.31504327,0.125,0
9.77828E-5,18.008781151,0.390989794,0.312649604,0.126008065,0
9.85858E-5,18.254254569,0.393464935,0.310348002,0.128024194,0
9.95478E-5,18.501905224,0.396416852,0.3080464,0.130040323,0
1.00412E-4,18.75177796,0.399055958,0.305744798,0.131048387,0
1.0099E-4,19.003607924,0.400815123,0.303443196,0.135080645,0
1.01928E-4,19.257218791,0.403658638,0.301141595,0.13608871,0
1.02701E-4,19.502775492,0.405993581,0.298932057,0.139112903,0
1.03736E-4,19.761205883,0.409102368,0.296630455,0.141129032,0
1.04862E-4,20.001114317,0.412468633,0.294512981,0.14516129,0
1.05779E-4,20.253699417,0.415192908,0.292303443,0.147177419,0
1.06793E-4,20.508804188,0.418192343,0.290093905,0.149193548,0
1.07858E-4,20.755878561,0.421325835,0.287976432,0.152217742,0
1.08848E-4,21.005068652,0.4242243,0.285858958,0.153225806,0
1.09509E-4,21.256260629,0.426152152,0.283741484,0.153225806,0
1.10389E-4,21.509152637,0.428708549,0.28162401,0.153225806,0
1.11225E-4,21.752669033,0.431125434,0.279598601,0.157258065,0
1.1177E-4,22.00904403,0.432695299,0.277481127,0.159274194,0
1.12374E-4,22.266785826,0.434429689,0.275363653,0.161290323,0
1.1315E-4,22.503826122,0.436652502,0.273430307,0.16733871,0
1.13808E-4,22.75352147,0.438528908,0.271404898,0.171370968,0
1.14855E-4,23.005131858,0.441503368,0.269379488,0.172379032,0
1.16162E-4,23.259345277,0.445191442,0.267354078,0.175403226,0
1.16951E-4,23.504228364,0.447407005,0.265420733,0.177419355,0
1.17665E-4,23.750538748,0.449403884,0.263487387,0.181451613,0
1.18729E-4,24.010664266,0.452367964,0.261461978,0.182459677,0
1.19598E-4,24.260805823,0.454777591,0.259528632,0.186491935,0
1.20252E-4,24.500678575,0.456581393,0.25768735,0.1875,0
1.20945E-4,24.75400903,0.458488097,0.255754005,0.188508065,0
1.21464E-4,25.008571934,0.459910634,0.253820659,0.189516129,0
1.22346E-4,25.252363391,0.462321359,0.251979378,0.189516129,0
1.2295E-4,25.509995013,0.46396576,0.250046032,0.189516129,0
1.24536E-4,25.757524207,0.468262375,0.248204751,0.191532258,0
1.25335E-4,26.007413387,0.470411702,0.246363469,0.193548387,0
1.26029E-4,26.258968741,0.472271663,0.244522187,0.194556452,0
1.27239E-4,26.512545132,0.475500568,0.242680906,0.195564516,0
1.28613E-4,26.755609923,0.479142336,0.240931688,0.19858871,0
1.29879E-4,27.001032304,0.482477898,0.239182471,0.200604839,0
1.30812E-4,27.261748893,0.48492079,0.237341189,0.201612903,0
1.32126E-4,27.51141826,0.488340891,0.235591972,0.202620968,0
1.3334E-4,27.750332541,0.491480505,0.233934819,0.204637097,0
1.34215E-4,28.004532733,0.493732377,0.232185601,0.210685484,0
1.35242E-4,28.260620537,0.496362485,0.230436384,0.217741935,0
1.36691E-4,28.506073857,0.500049975,0.22877923,0.221774194,0
1.37379E-4,28.752653332,0.501791827,0.227122077,0.222782258,0
1.38254E-4,29.000759676,0.503997447,0.225464924,0.222782258,0
1.39348E-4,29.25085993,0.506742172,0.22380777,0.225806452,0
1.40284E-4,29.502542183,0.509078628,0.222150617,0.226814516,0
1.41658E-4,29.756661978,0.512486646,0.220493463,0.22983871,0
1.42596E-4,30.012530227,0.514802214,0.21883631,0.230846774,0
1.43685E-4,30.255893192,0.51747484,0.217271221,0.230846774,0
1.44599E-4,30.501040963,0.519704856,0.215706131,0.233870968,0
1.45819E-4,30.762153497,0.522667157,0.214048978,0.236895161,0
1.47418E-4,31.011342005,0.526523933,0.212483889,0.239919355,0
1.48046E-4,31.26245154,0.528028653,0.210918799,0.244959677,0
1.49222E-4,31.500340472,0.530836411,0.209445774,0.25,0
1.50598E-4,31.755363678,0.534098488,0.207880685,0.252016129,0
1.51411E-4,32.012087283,0.536014791,0.206315596,0.255040323,0
1.5273E-4,32.255467523,0.539107637,0.20484257,0.259072581,0
1.53698E-4,32.500615059,0.541364697,0.203369545,0.262096774,0
1.55364E-4,32.763475648,0.545224032,0.201804456,0.264112903,0
1.57082E-4,33.013733862,0.54917021,0.200331431,0.268145161,0
1.58739E-4,33.250631711,0.552943523,0.19895047,0.272177419,0
1.59807E-4,33.505385553,0.555356718,0.197477444,0.274193548,0
1.61186E-4,33.762249116,0.558455794,0.196004419,0.277217742,0
1.62355E-4,34.004911745,0.561066682,0.194623458,0.279233871,0
1.63962E-4,34.265812227,0.564630504,0.193150433,0.285282258,0
1.64972E-4,34.512520098,0.566854045,0.191769472,0.289314516,0
1.65864E-4,34.760559937,0.568807877,0.19038851,0.294354839,0
1.66811E-4,35.010219628,0.570874054,0.189007549,0.295362903,0
1.68807E-4,35.262256639,0.575196796,0.187626588,0.299395161,0
1.70689E-4,35.500002159,0.579231953,0.186337691,0.303427419,0
1.72483E-4,35.757734933,0.583042709,0.18495673,0.309475806,0
1.74363E-4,36.000693227,0.587000669,0.183667833,0.317540323,0
1.76117E-4,36.263692907,0.59065764,0.182286872,0.324596774,0
1.77814E-4,36.511619361,0.594165948,0.180997975,0.327620968,0
1.79163E-4,36.761641376,0.596933468,0.179709078,0.333669355,0
1.81089E-4,37.014131365,0.600850585,0.17842018,0.336693548,0
1.82749E-4,37.250820984,0.604196357,0.177223347,0.339717742,0
