Species,x,y
Hippodamia variegata,-1.110871,51.603446
Hippodamia variegata,-2.372837,51.383003
Hippodamia variegata,-0.858249,53.938435
Hippodamia variegata,-2.666804,51.533703
Hippodamia variegata,-2.649585,51.544544
Hippodamia variegata,0.545795,51.45977
Hippodamia variegata,0.310191,51.461053
Hippodamia variegata,-3.952192,51.637557
Hippodamia variegata,-1.06375,51.560144
Hippodamia variegata,-1.111254,51.602324
Hippodamia variegata,-1.111254,51.602324
Hippodamia variegata,-0.622945,51.825553
Hippodamia variegata,-0.346935,52.759329
Hippodamia variegata,-2.645311,51.548164
Hippodamia variegata,-0.982915,51.384356
Hippodamia variegata,0.714295,52.341868
Hippodamia variegata,-2.729189,52.72545
Hippodamia variegata,-0.5813884,52.2887645
Hippodamia variegata,1.199294,52.94532
Hippodamia variegata,-1.240969,52.567178
Hippodamia variegata,-2.156482,52.461627
Hippodamia variegata,-1.478671,52.484272
Hippodamia variegata,0.377848,51.539784
Hippodamia variegata,0.118506,51.622542
Hippodamia variegata,-1.188651,52.639965
Hippodamia variegata,-2.659598,52.7108
Hippodamia variegata,0.393989,51.439226
Hippodamia variegata,-1.46285,51.11238
Hippodamia variegata,0.62918,52.761936
Hippodamia variegata,-0.784864,51.197905
Hippodamia variegata,-1.019151,51.588104
Hippodamia variegata,-2.408799,52.506738
Hippodamia variegata,0.538608,52.414567
Hippodamia variegata,-2.413519,51.932458
Hippodamia variegata,0.508679,52.72858
Hippodamia variegata,-2.979333,53.411788
Hippodamia variegata,-1.325052,52.65925
Hippodamia variegata,-4.643327,55.939644
Hippodamia variegata,-1.162683,53.988129
Hippodamia variegata,-0.90882,53.281829
Hippodamia variegata,-1.168046,53.718521
Hippodamia variegata,-0.614862,51.703396
Hippodamia variegata,-1.135976,52.950189
Hippodamia variegata,-1.185709,52.679051
Hippodamia variegata,-0.6581589,53.7880556
Hippodamia variegata,-1.434975,54.713192
Hippodamia variegata,-1.188651,52.639965
Hippodamia variegata,-2.677622,53.359949
Hippodamia variegata,-0.0053035,52.9687568
Hippodamia variegata,-4.584630559,55.94273627
Hippodamia variegata,-0.784864,51.197905
Hippodamia variegata,0.522222,52.449538
Hippodamia variegata,0.653495,52.307279
Hippodamia variegata,-1.07216,53.219389
Hippodamia variegata,-1.397193,53.753823
Hippodamia variegata,-1.185709,52.679051
Hippodamia variegata,-1.240969,52.567178
Hippodamia variegata,-1.486295,52.46183
Hippodamia variegata,-0.6566,53.78428
Hippodamia variegata,-0.66024,53.78941
Hippodamia variegata,-2.858634,53.394739
Hippodamia variegata,-1.159099,52.639759
Hippodamia variegata,0.622287,52.312923
Hippodamia variegata,0.599797045,50.86448523
Hippodamia variegata,-2.822678,53.089365
Hippodamia variegata,-1.245723,52.779999
Hippodamia variegata,1.359238,51.155968
Hippodamia variegata,-1.57574,52.351111
Hippodamia variegata,-2.868343,53.391523
Hippodamia variegata,-1.152,54.61049
Hippodamia variegata,-1.184642,53.211222
Hippodamia variegata,0.279576,52.310595
Hippodamia variegata,0.809921,51.530227
Hippodamia variegata,0.809921,51.530227
Hippodamia variegata,-1.188651,52.639965
Hippodamia variegata,-3.074573,53.608723
Hippodamia variegata,0.482206,52.797025
Hippodamia variegata,-1.273763,51.643004
Hippodamia variegata,-1.512749,52.731638
Hippodamia variegata,-1.273763,51.643004
Hippodamia variegata,-1.151845,53.203802
Hippodamia variegata,-0.507741,51.424455
Hippodamia variegata,-1.095095,53.197092
Hippodamia variegata,-3.074116,53.59075
Hippodamia variegata,-1.184642,53.211222
Hippodamia variegata,-0.658424,52.581207
Hippodamia variegata,-1.319566,53.719477
Hippodamia variegata,-0.600554,52.544575
Hippodamia variegata,0.279576,52.310595
Hippodamia variegata,-1.177207,53.208474
Hippodamia variegata,-1.095095,53.197092
Hippodamia variegata,-1.184642,53.211222
Hippodamia variegata,-1.151455,53.223575
Hippodamia variegata,-1.184642,53.211222
Hippodamia variegata,-1.522359,52.733025
Hippodamia variegata,-1.102053,53.222315
Hippodamia variegata,-5.812754,56.968649
Hippodamia variegata,-1.184642,53.211222
Hippodamia variegata,-1.319566,53.719477
Hippodamia variegata,1.153803,52.933947
Hippodamia variegata,-0.633779,53.768004
Hippodamia variegata,-1.218844,52.604208
Hippodamia variegata,-1.040893,52.638862
Hippodamia variegata,-0.58017,53.173641
Hippodamia variegata,-1.022773,53.447765
