decade,SAMPLE_1,count
"2000","1","6107"
"2000","17","12"
"2000","3","7047"
"2000","4","7482"
"1970","18","21"
"2000","21","5559"
"1980","4","2739"
"1980","1","1355"
"2010","3","6317"
"2010","4","7854"
"1990","3","1808"
"1980","3","2437"
"1970","4","838"
"2000","2","783"
"2000","20","3162"
"1980","8","128"
"2000","7","291"
"1990","2","215"
"2010","20","1264"
"1990","4","1675"
"1970","5","106"
"2000","12","47"
"2000","14","3176"
"1980","21","954"
"1960","3","439"
"1970","21","264"
"1970","1","341"
"1990","1","1365"
"1990","8","54"
"2000","19","274"
"2010","2","943"
"1980","20","583"
"1960","5","20"
"2010","1","7219"
"1960","1","199"
"1970","14","164"
"1990","20","1444"
"2000","8","45"
"1960","20","54"
"2000","10","79"
"2000","18","91"
"1970","2","17"
"1960","4","447"
"1990","14","594"
"1980","14","312"
"2000","6","135"
"2010","10","117"
"2000","11","193"
"1970","8","183"
"2000",,"125"
"1970","7","47"
"2000","5","557"
"2000","9","109"
"1960","19","23"
"1980",,"177"
"2010","7","305"
"1980","19","72"
"2010","21","3671"
"1990","21","1295"
"1970",,"18"
"1970","3","541"
"1970","19","58"
"1980","5","130"
"1990",,"23"
NA,"20","1"
"1960","21","172"
"1960","14","30"
"1990","5","154"
"1990","12","6"
"2010","5","1627"
"2010","14","4498"
"2010","19","342"
"1990","7","71"
"2010","11","802"
"1970","20","269"
"1960","16","48"
"1990","16","27"
"1980","2","159"
"2010","9","63"
"1940","14","3"
"1990","19","156"
"2000","16","29"
"1980","16","34"
"1980","11","31"
"1900","19","1"
"2010","16","31"
"1990","9","22"
NA,"21","1"
"1920","20","1"
"1970","13","3"
"1960","7","76"
"2010","8","47"
"2010","17","21"
"2010","6","102"
"1990","13","7"
"1960","2","41"
"1980","7","228"
"1980","18","56"
"2010","12","71"
"1980","6","44"
"1960","11","14"
"1960",,"51"
"1970","16","35"
"2010",,"67"
"1960","8","32"
NA,"18","2"
"1940","21","2"
"1960","6","11"
"1990","18","12"
"1800","21","2"
"1890","21","3"
"1930","3","3"
"1930","4","6"
"1980","13","7"
"2010","18","21"
"1960","18","15"
"1830","1","1"
"1960","9","20"
"1950","4","13"
"2010","13","21"
"1970","11","2"
"1980","9","55"
"2000","13","10"
"1980","15","7"
"1970","6","7"
"1940","5","5"
"1890","3","1"
"1890","7","1"
"1940","1","5"
"1930","20","4"
"1980","12","11"
"1900","9","1"
"1780","3","1"
"1900","1","1"
NA,"4","2"
NA,"1","2"
"1950","21","6"
"1940","4","11"
"1960","13","5"
"1930","14","1"
"1990","6","5"
"1950","14","3"
NA,"7","4"
"2010","15","2"
NA,"8","1"
"1960","10","6"
"1800","20","1"
"1980","10","10"
"2000","15","1"
"1910","4","1"
"1900","21","7"
"1900",,"2"
"1940","3","1"
"1890","1","3"
"1940","7","3"
"1940","19","1"
"1950","7","2"
"1990","11","2"
"1880","20","1"
"2020","2","1"
"1800","8","2"
"1800","16","1"
"1910","1","1"
"1950","20","1"
"1950","5","2"
"1970","9","4"
"1980","17","2"
NA,"6","2"
"1990","15","3"
"1960","12","2"
"2020","7","1"
"1930","7","2"
"1800",,"1"
"1940","20","1"
