"Date Added",Title,Type,"Item Link","Local Control Number",ISBN10,ISBN13,ISSN,EISSN,DOI,Importance,"Note for Student"
"02/02/2016 16:04:44","Conservation Biology for All",Book,http://readinglists.anglia.ac.uk/items/AE5DDF48-4123-DE5D-DED7-248843DD83EB.html,995576390102051,,9780199554232,,,,"Essential Reading","This book is open access and free to download, chapter by chapter. [Library note: there are also two print copies in the Library - click on the title to see location details]"
"02/02/2016 16:45:59","The biodiversity of species and their rates of extinction, distribution, and protection",Article,http://readinglists.anglia.ac.uk/items/EAD213AA-8302-9D86-0E6F-0A864B9C82B4.html,,,,0036-8075,1095-9203,,"Background Reading","This paper is available in full form through Google Scholar"
"02/02/2016 16:47:25","Global Biodiversity: Indicators of Recent Declines",Article,http://readinglists.anglia.ac.uk/items/0AE79084-27E2-7E31-C910-941D456AA9E3.html,,,,0036-8075,1095-9203,10.1126/science.1187512,"Background Reading",
"02/02/2016 16:48:41","Untangling the Environmentalist's Paradox: Why Is Human Well-being Increasing as Ecosystem Services Degrade?",Article,http://readinglists.anglia.ac.uk/items/DAF27D1B-8534-B46B-B12D-63064FADD248.html,,,,0006-3568,1525-3244,10.1525/bio.2010.60.8.4,"Recommended Reading",
"02/02/2016 16:51:35","A safe operating space for humanity",Article,http://readinglists.anglia.ac.uk/items/B19FA385-67D6-358D-ADE2-E7ADEE7E624D.html,,,,0028-0836,1476-4687,,"Background Reading",
"02/02/2016 16:52:52","Planetary boundaries: Guiding human development on a changing planet",Article,http://readinglists.anglia.ac.uk/items/18530024-21FB-7ED3-CEEF-74C1396A99C1.html,,,,0036-8075,1095-9203,,"Background Reading","[Library note: Print subscription to Science is shelved on the 1st floor if online link becomes inaccessible]"
"03/02/2016 14:02:21","Estimating the normal background rate of species extinction",Article,http://readinglists.anglia.ac.uk/items/69EAF3BF-733D-EE66-8A6F-C08DFDFE4E91.html,,,,,,10.1111/cobi.12380,"Background Reading","This is a more detailed explanation of extinction rate measurements. It is added as the Science paper (Pimm et al 2014) may not be accessible in its published format."
"09/02/2016 13:34:45","A global evaluation of forest interior area dynamics using tree cover data from 2000 to 2012",Article,http://readinglists.anglia.ac.uk/items/425DEC92-7068-3D1E-9629-A50B6A558F5D.html,,,,0921-2973,1572-9761,10.1007/s10980-015-0270-9,"Background Reading",
"09/02/2016 13:53:02","Accelerating extinction risk from climate change",Article,http://readinglists.anglia.ac.uk/items/6CBE4C2F-DBA2-9372-B88B-5DD44C910EE3.html,,,,0036-8075,1095-9203,10.1126/science.aaa4984,,
"09/02/2016 18:44:02","Widespread amphibian extinctions from epidemic disease driven by global warming",Article,http://readinglists.anglia.ac.uk/items/AF53407A-4A79-47AE-69FF-1A9C5F3CC6C8.html,,,,0028-0836,1476-4679,10.1038/nature04246,,"This key paper analyses the interaction between climate change and disease in explaining the amphibian extinctions in central America (including the golden toad - a climate change icon)."
"10/02/2016 14:16:10","Species Invasions and the Limits to Restoration: Learning from the New Zealand Experience",Article,http://readinglists.anglia.ac.uk/items/62156508-4C14-7622-56CE-90718800B112.html,,,,0036-8075,1095-9203,10.1126/science.1172978,"Background Reading","A thought provoking article about how to respond to the multiple invasions in New Zealand. Also provides some interesting detail on the scale of the problem."
"10/02/2016 17:36:30","Pollution, Politics, and Vultures",Article,http://readinglists.anglia.ac.uk/items/07174620-B915-5045-D754-3367F4260FA0.html,,,,0036-8075,1095-9203,10.1126/science.1234193,"Background Reading","[Library note: full article is available via Google Scholar links. Print copy of this issue is available on the 1st floor if links become unavailable]"
"10/02/2016 17:38:26","Climate change and dead zones",Article,http://readinglists.anglia.ac.uk/items/10970E23-9052-6A4F-A764-683D705ED078.html,,,,,,10.1111/gcb.12754,"Background Reading",
"04/04/2016 14:13:27","Global pollinator declines: trends, impacts and drivers",Article,http://readinglists.anglia.ac.uk/items/BB95908C-634C-BB86-4F94-1667D6CCE8F5.html,,,,01695347,,10.1016/j.tree.2010.01.007,"Recommended Reading",
"04/04/2016 14:15:57","Bee declines driven by combined stress from parasites, pesticides, and lack of flowers",Article,http://readinglists.anglia.ac.uk/items/74F19816-044F-6BD3-0678-EFEC82D1FE81.html,,,,0036-8075,1095-9203,10.1126/science.1255957,"Recommended Reading",
"04/04/2016 15:11:08","DNA barcoding for ecologists",Article,http://readinglists.anglia.ac.uk/items/D57850D4-8AC4-3DA6-84DC-D00EBCAC91C8.html,,,,01695347,,10.1016/j.tree.2008.09.011,"Background Reading",
"02/02/2016 17:02:45","A primer of conservation genetics",Book,http://readinglists.anglia.ac.uk/items/00AF7536-E776-E074-2828-DD0051490A8A.html,995410940102051,"0521538270 0521831105",9786610449415,,,,"Recommended Reading",
"09/02/2016 13:39:42","The world's forests will collapse if we don't learn to say 'no'",Article,http://readinglists.anglia.ac.uk/items/2183D26A-F785-4776-3FDA-6884777B680C.html,,,,,,,,"This online article is a response to the Riiters et al paper (A global evaluation of forest interior dynamics). It is written by the author of the text book Chapter on habitat destruction Bill Laurance. It puts the findings on forest loss nicely in context. "
"15/04/2016 10:13:52","Global food security, biodiversity conservation and the future of agricultural intensification",Article,http://readinglists.anglia.ac.uk/items/576B99CD-7718-124C-8CC1-3ACE4934C1EA.html,,,,00063207,,,,"Read this for the debate on intensive agriculture in week 10."
"15/04/2016 10:14:56","Reconciling Food Production and Biodiversity Conservation: Land Sharing and Land Sparing Compared",Article,http://readinglists.anglia.ac.uk/items/9DD652C1-42DB-29AF-5A5A-96A2E936562C.html,,,,0036-8075,1095-9203,10.1126/science.1208742,,"Read this for the intensive agriculture debate in week 10."
"02/02/2016 14:46:55","Fundraising guidelines",Document,http://readinglists.anglia.ac.uk/items/79AB801C-4A5E-C13B-7469-45E9EAF599F0.html,,,,,,,"Recommended Reading",
"02/02/2016 14:48:39","Guidelines for Writing Grant Proposals",Document,http://readinglists.anglia.ac.uk/items/8287076B-7F18-CE18-38FD-C346507AC023.html,,,,,,,"Recommended Reading",
"02/02/2016 14:52:58","BirdLife | Partnership for nature and people",Website,http://readinglists.anglia.ac.uk/items/07355F1E-A344-EF30-F76D-674AE5291287.html,,,,,,,"Background Reading",
"02/02/2016 14:53:36","Fauna & Flora International",Website,http://readinglists.anglia.ac.uk/items/192FB093-7250-18A3-87D5-09F0A21125D7.html,,,,,,,"Background Reading",
"02/02/2016 14:54:24","Worldwide Fund for Nature (WWF)",Website,http://readinglists.anglia.ac.uk/items/C798317C-9E2A-1CCA-8656-6828FDC6F9A3.html,,,,,,,"Background Reading",
