"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dp56","Royal Horticultural Society","","Records provided by Royal Horticultural Society, accessed through NBN Atlas website.","","For more information:  email membership@rhs.org.uk, or https://registry.nbnatlas.org/public/show/dp56","","","","5"
"dr1250","Ty Canol National Nature Reserve (NNR) Species Inventory","doi:10.15468/shxquu","Natural Resources Wales.  ([Insert year of download])  Ty Canol National Nature Reserve (NNR) Species Inventory. Occurrence dataset accessed through the NBNAtlas","Open Government Licence (OGL) © CNC/NRW
Data may be re-used under the terms of the Open Government Licence providing it is done so, acknowledging both the source and NRW's copyright. It is the recipient's responsibility to ensure the data is fit for the intended purpose.

Attribution statement: Contains Natural Resources Wales information © Natural Resources Wales and Database Right. All rights Reserved.","For more information:  https://registry.nbnatlas.org/public/show/dr1250","","","","1"
"dr1372","BTO First Atlas of Breeding Birds in Britain and Ireland: 1968-1972.","doi:10.15468/cfigc5","Records provided by BTO First Atlas of Breeding Birds in Britain and Ireland: 1968-1972., accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1372","","","","1220"
"dr2464","Leicestershire and Rutland Environmental Records Centre records 2000-2009","10.15468/cs2zzf","Leicestershire and Rutland Environmental Records Centre ([Insert year of download]). Leicestershire and Rutland Environmental Records Centre records 2000-2009. Occurrence dataset on the NBN Atlas.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) LRERC should be acknowledged in any use of the data.  The data supplier is contained within the dataset.  Further metadata on individual data suppliers datasets can be found by searching for the datasetID at https://my.lerc.online/Datasets.aspx?src=lr","For more information:  https://registry.nbnatlas.org/public/show/dr2464","","","","1016"
"dr2465","Leicestershire and Rutland Environmental Records Centre records 2010-2014","10.15468/9n92x3","Leicestershire and Rutland Environmental Records Centre ([Insert year of download]). Leicestershire and Rutland Environmental Records Centre records 2010-2014. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) LRERC should be acknowledged in any use of the data.  The data supplier is contained within the dataset.  Further metadata on individual data suppliers datasets can be found by searching for the datasetID at https://my.lerc.online/Datasets.aspx?src=lr","For more information:  https://registry.nbnatlas.org/public/show/dr2465","","","","741"
"dr2463","Leicestershire and Rutland Environmental Records Centre records pre 2000","10.15468/res3cx","Leicestershire and Rutland Environmental Records Centre ([Insert year of download]). Leicestershire and Rutland Environmental Records Centre records pre 2000. Occurrence dataset on the NBN Atlas.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) LRERC should be acknowledged in any use of the data.  The data supplier is contained within the dataset.  Further metadata on individual data suppliers datasets can be found by searching for the datasetID at https://my.lerc.online/Datasets.aspx?src=lr","For more information:  https://registry.nbnatlas.org/public/show/dr2463","","","","165"
"dr2466","Leicestershire and Rutland Environmental Records Centre records 2015-2019","10.15468/dues93","Leicestershire and Rutland Environmental Records Centre ([Insert year of download]). Leicestershire and Rutland Environmental Records Centre records 2015-2019. Occurrence dataset on the NBN Atlas.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) LRERC should be acknowledged in any use of the data.  The data supplier is contained within the dataset.  Further metadata on individual data suppliers datasets can be found by searching for the datasetID at https://my.lerc.online/Datasets.aspx?src=lr","For more information:  https://registry.nbnatlas.org/public/show/dr2466","","","","261"
"dr2588","British bird study skins held by Leeds Museums and Galleries","10.15468/h49fv4","Leeds Museums and Galleries ([Insert download year]). British bird study skins held by Leeds Museums and Galleries. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2588","","","","1"
"dr460","Bird Conservation Targeting Project (BCTP) in the UK, archived data (2001-2010) ","doi:10.15468/y4z6zz","""The following acknowledgements of copyright and database right ownership, must be included in a conspicuous position in all copies of data and outputs: """"Reproduced by permission of the Bird Conservation Targeting Project. © Bird Conservation Targeting Project, 2010 (a partnership between the British Trust for Ornithology (BTO), the Centre for Environmental Data and Recording (CEDaR), the Countryside Council for Wales (CCW), the Department of Agriculture and Rural Development (DARD), Forestry Commission England (FCE), Forestry Commission Wales (FCW), Forest Service (FS), Natural England (NE), Northern Ireland Environment Agency, the RSPB and Scottish Natural Heritage (SNH)). All rights reserved."""" 

The organisations contributing data to the project must also be acknowledged as follows: """"The Bird Conservation Targeting Project partners are grateful to the contributions of the data providers listed at www.rspb.org.uk/targeting"""", and to the many vounteers who collected these data.""","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dr460","","","","3758"
"dr1414","Stoke-on-Trent Environmental Survey results (1982-1984)","doi:10.15468/8gryb6","Records provided by Stoke-on-Trent Environmental Survey results (1982-1984), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email info@staffs-ecology.org.uk, or https://registry.nbnatlas.org/public/show/dr1414","","","","4"
"dr1935","NRW Regional Data: South East Wales Non-sensitive species","10.15468/g7xxs8","NRW Regional Data: South East Wales Non-sensitive species, SEWBReC (2018)","Open Government Licence (OGL)","For more information:  https://registry.nbnatlas.org/public/show/dr1935","","","","32"
"dr867","Suffolk Biodiversity Information Service (SBIS) Dataset","doi:10.15468/ab4vwo","Records provided by Suffolk Biodiversity Information Service (SBIS) Dataset, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email martin.sanford@suffolk.gov.uk, or https://registry.nbnatlas.org/public/show/dr867","","","","432"
"dr746","CPERC Combined Dataset","doi:10.15468/npthhv","Records provided by CPERC Combined Dataset, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email data@cperc.org.uk, or https://registry.nbnatlas.org/public/show/dr746","","","","275"
"dp43","The Wildlife Information Centre","","Records provided by The Wildlife Information Centre, accessed through NBN Atlas website.","","For more information:  email info@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dp43","","","","1"
"dp0","Royal Society for the Protection of Birds","","Records provided by Royal Society for the Protection of Birds, accessed through NBN Atlas website.","","For more information:  email Dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dp0","","","","6424"
"dp2","Scottish Wildlife Trust","","Records provided by Scottish Wildlife Trust, accessed through NBN Atlas website.","","For more information:  email datarequests@scottishwildlifetrust.org.uk, or https://registry.nbnatlas.org/public/show/dp2","","","","18"
"dr1420","Miscellaneous records held on the Cofnod database","doi:10.15468/hcgqsi","Miscellaneous records held on the Cofnod database, Cofnod (2019)","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email record@cofnod.org.uk, or https://registry.nbnatlas.org/public/show/dr1420","","","","343"
"dp154","NatureSpot","","Records provided by NatureSpot, accessed through NBN Atlas website.","","For more information:  email info@naturespot.org.uk, or https://registry.nbnatlas.org/public/show/dp154","","","","38"
"dr1786","Montgomeryshire Wildlife Trust records held by BIS","doi:10.15468/vozyfp","BIS for Powys and Brecon Beacons National Park ([Insery download year]). Mongomeryshire Wildlife Trust records held by BIS. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1786","","","","17"
"dr1787","Radnorshire Wildlife Trust records held by BIS","doi:10.15468/hxqokw","BIS for Powys and Brecon Beacons National Park ([Insert download year]). Radnorshire Wildlife Trust records held by BIS. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1787","","Contact BIS for further information or go to website www.bis.org.uk for County recorder contacts.","","9"
"dp156","Leicestershire and Rutland Environmental Records Centre","","Records provided by Leicestershire and Rutland Environmental Records Centre, accessed through NBN Atlas website.","","For more information:  email LRERC@leics.gov.uk, or https://registry.nbnatlas.org/public/show/dp156","","","","2183"
"dr1784","Miscellaneous records held by BIS","doi:10.15468/mo7peo","BIS for Powys and Brecon Beacons National Park ([Insert download year]). Miscellaneous records held by BIS. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1784","","","","34"
"dr851","Merseyside BioBank (verified)","doi:10.15468/ar0p6s","Merseyside BioBank (2020) www.merseysidebiobank.org.uk","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email Info@MerseysideBioBank.org.uk, or https://registry.nbnatlas.org/public/show/dr851","","","","596"
"dr1785","Brecknock Wildlife Trust (Now WTSWW Brecknockhire) records held by BIS","doi:10.15468/hd7pvq","BIS for Powys and Brecon Beacons National Park ([Insert download year]). Brecknock Wildlife Trust (Now WTSWW Brecknockhire) records held by BIS. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1785","","","","3"
"dp159","Greater Manchester Ecology Unit","","Records provided by Greater Manchester Ecology Unit, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp159","","","","194"
"dr855","All taxa records for Leicestershire and Rutland","doi:10.15468/i46are","Records provided by All taxa records for Leicestershire and Rutland, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr855","","","","38"
"dr1155","Natural Resources Wales Regional Data : Mid-Wales","doi:10.15468/whj6d7","Natural Resources Wales Regional Data : Mid-Wales, BIS (2020)","Open Government Licence (OGL) OGL","For more information:  https://registry.nbnatlas.org/public/show/dr1155","","Additional information is available from BIS – www.bis.org.uk. This dataset contains sensitive species records which may only be made available at full resolution under licence to approved individuals and organisations following a request to BIS. It is provided under strict confidentiality terms.","","35"
"dr1156","BTO Second Atlas of Breeding Birds in Britain and Ireland: 1988-1991.","doi:10.15468/cisnhd","Records provided by BTO Second Atlas of Breeding Birds in Britain and Ireland: 1988-1991., accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1156","","","","3058"
"dr1277","South East Scotland Tetrad Atlas 1988 - 1994 - non-sensitive breeding species","doi:10.15468/ofiznf","Records provided by South East Scotland Tetrad Atlas 1988 - 1994 - non-sensitive breeding species, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email clive.mckay@the-soc.org.uk, or https://registry.nbnatlas.org/public/show/dr1277","","","","8"
"dr1395","Fife non-breeding bird 5km atlas 1991-99","doi:10.15468/rnxyvi","Records provided by Fife non-breeding bird 5km atlas 1991-99, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email clive.mckay@the-soc.org.uk, or https://registry.nbnatlas.org/public/show/dr1395","","","","3"
"dp101","Cambridgeshire & Peterborough Environmental Records Centre","","Records provided by Cambridgeshire & Peterborough Environmental Records Centre, accessed through NBN Atlas website.","","For more information:  email data@cperc.org.uk, or https://registry.nbnatlas.org/public/show/dp101","","","","275"
"dr1399","SER Site-based Surveys","doi:10.15468/h2yko0","Records provided by SER Site-based Surveys, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email info@staffs-ecology.org.uk, or https://registry.nbnatlas.org/public/show/dr1399","","","","40"
"dr1312","Stackpole National Nature Reserve Species Inventory and Ad-hoc Sightings from Across Pembrokeshire","doi:10.15468/k6hvb8","Natural Resources Wales.  ([Insert year of download])  Stackpole National Nature Reserve Species Inventory and Ad-hoc Sightings from Across Pembrokeshire. Occurrence dataset accessed through the NBNAtlas","Open Government Licence (OGL) © CNC/NRW
Data may be re-used under the terms of the Open Government Licence providing it is done so, acknowledging both the source and NRW's copyright. It is the recipient's responsibility to ensure the data is fit for the intended purpose.

Attribution statement: Contains Natural Resources Wales information © Natural Resources Wales and Database Right. All rights Reserved.","For more information:  https://registry.nbnatlas.org/public/show/dr1312","","","","115"
"dp186","West Wales Biodiversity Information Centre","","Records provided by West Wales Biodiversity Information Centre, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp186","","","","41"
"dr528","Birds (BTO+partners) to 2005","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr528","","","","8019"
"dp107","Bristol Regional Environmental Records Centre","","Records provided by Bristol Regional Environmental Records Centre, accessed through NBN Atlas website.","","For more information:  email dataenquiries@brerc.org.uk, or https://registry.nbnatlas.org/public/show/dp107","","","","10"
"dp109","Lancashire Environment Record Network","","Records provided by Lancashire Environment Record Network, accessed through NBN Atlas website.","","For more information:  email lern@lancashire.gov.uk, or https://registry.nbnatlas.org/public/show/dp109","","","","53"
"dp103","Dorset Environmental Records Centre","","Records provided by Dorset Environmental Records Centre, accessed through NBN Atlas website.","","For more information:  email Enquiries@derc.org.uk, or https://registry.nbnatlas.org/public/show/dp103","","","","11"
"dr766","Survey and monitoring records for Scottish Wildlife Trust reserves from reserve convenors and Trust volunteers - Verified data","doi:10.15468/yyd4b9","Survey and monitoring records for Scottish Wildlife Trust reserves from reserve convenors and Trust volunteers - Verified data, SWT (2020)","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email rsiller@scottishwildlifetrust.org.uk, or https://registry.nbnatlas.org/public/show/dr766","","","","9"
"dr765","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","doi:10.15468/a6snhl","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data, SWT (2020)","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email rsiller@scottishwildlifetrust.org.uk, or https://registry.nbnatlas.org/public/show/dr765","","","","9"
"dp105","Essex Wildlife Trust Biological Records Centre","","Records provided by Essex Wildlife Trust Biological Records Centre, accessed through NBN Atlas website.","","For more information:  email records@essexwt.org.uk, or https://registry.nbnatlas.org/public/show/dp105","","","","6"
"dr2370","Birds (BTO/JNCC/RSPB partnership)","","Records provided by BTO, accessed through NBN Atlas website","Open Government Licence (OGL)","For more information:  https://registry.nbnatlas.org/public/show/dr2370","","","","18752"
"dr1281","Staffordshire Wildlife Trust Nature Reserves Inventory","doi:10.15468/vhdows","Records provided by Staffordshire Wildlife Trust Nature Reserves Inventory, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email info@staffs-ecology.org.uk, or https://registry.nbnatlas.org/public/show/dr1281","","","","25"
"dr2096","Sheffield and Rotherham Wildlife Trust - Records","10.15468/x3wdpp","Data supplied by Sheffield and Rotherham Wildlife Trust","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC BY-NC
      		Creative Commons Attribution Non-Commercial","For more information:  email mail@wildsheffield.com, or https://registry.nbnatlas.org/public/show/dr2096","","","","8"
"dr1287","NRW Regional Data: all taxa (excluding sensitive species), West Wales","doi:10.15468/q3d1hl","Records provided by NRW Regional Data: all taxa (excluding sensitive species), West Wales, accessed through NBN Atlas website.","Open Government Licence (OGL) OGL","For more information:  email Kate.jones@wwbic.org.uk, or https://registry.nbnatlas.org/public/show/dr1287","","","","19"
"dr1164","LERN Records","doi:10.15468/esxc9a","Records provided by LERN Records, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email lern@lancashire.gov.uk, or https://registry.nbnatlas.org/public/show/dr1164","","","","53"
"dp177","Rotherham Biological Records Centre","","Records provided by Rotherham Biological Records Centre, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp177","","","","7876"
"dr1842","iRecord Surveys","doi:10.15468/i7x5ca","Natural England iRecord Surveys ([year of download])","Open Government Licence (OGL) OGL 
      		Open Government Licence (OGL 3.0)","For more information:  https://registry.nbnatlas.org/public/show/dr1842","","","","6"
"dp211","Welsh Government","","Records provided by Welsh Government, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp211","","","","4"
