Year,All species,All species,All species,All species,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Farmland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Woodland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Water and Wetland birds,Seabirds,Seabirds,Seabirds,Wintering Water birds,Wintering Water birds,Wildfowl (27),Wildfowl (27),Wader (15),Wader (15)
,All (130),All (130),All (130),All (130),All (19),All (19),All (19),All (19),Generalist (7),Generalist (7),Generalist (7),Generalist (7),Specialist (12),Specialist (12),Specialist (12),Specialist (12),All (37),All (37),All (37),All (37),Generalist (12),Generalist (12),Generalist (12),Generalist (12),Specialist (25),Specialist (25),Specialist (25),Specialist (25),All (26),All (26),All (26),All (26),Reed bed (4),Reed bed (4),Reed bed (4),Reed bed (4),Wet meadow (8),Wet meadow (8),Wet meadow (8),Wet meadow (8),Fast flow (4) ,Fast flow (4) ,Fast flow (4) ,Fast flow (4) ,Slow stand (6),Slow stand (6),Slow stand (6),Slow stand (6),All (13),All (13),All (13),All (46) ,All (46) ,All (46) ,All (46) ,All (46) ,All (46) 
,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Smoothed data,Smoothed 2.5 CI,Smoothed 97.5 CI,Unsmoothed data,Unsmoothed data 2.5CI,Unsmoothed data 97.5CI,Unsmoothed data,Smoothed data,Unsmoothed data,Smoothed data,Unsmoothed data,Smoothed data
1970,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,102.6657938,102.0545061,101.3775357,103.2934117,103.3939524,98.68087521,97.19698913,100.2579776,100.025575,98.9371475,95.41453065,102.9479642,105.1204419,98.5529881,97.34550973,99.85390369,105.8069807,102.6161711,101.6776969,103.687332,109.2742959,104.2113942,103.1751999,105.4366499,103.651584,101.472557,100.1767534,102.9377178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,107.6780161,104.1384573,102.8953313,106.1941584,103.4800747,98.07596686,95.16302759,101.1424933,104.5023055,98.97389935,91.60649248,107.1018613,102.9727152,97.63006015,95.06997834,100.0433961,111.2746464,104.7853605,103.0561248,106.735251,119.1726444,108.641835,106.4702422,110.8646516,106.6756706,101.895099,99.54653341,104.5538713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,107.3005759,105.89884,104.305556,108.6402327,100.2999352,98.29267221,94.29866643,102.6483354,105.1888545,99.99192576,89.8460382,111.8323175,97.94135676,97.45390516,93.5754955,101.1025473,108.9938191,105.6188906,103.3481094,108.3443875,117.7539196,111.6377812,108.4430932,114.7276181,102.3738098,100.8740198,97.46207158,104.538567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,109.0289839,107.3341406,105.5312953,110.4582012,101.3765114,99.6551123,94.69480707,105.230374,101.729236,101.9784366,89.297327,116.972462,101.200608,98.51337538,93.87749277,103.5251501,108.9444402,105.2251548,102.4814669,108.7520318,120.8230867,112.6582493,109.231729,116.3686932,100.1205043,99.0501552,95.1253746,103.5178759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,111.7588038,108.1095429,106.1032462,111.823474,106.5122951,101.7201858,95.82488631,107.5950534,114.1982037,104.5922166,91.11522838,121.6576851,102.8655561,100.3138812,94.89229501,106.1207801,109.5904073,103.9570568,100.747421,108.1435578,122.8064295,111.3787322,107.3897736,115.7888428,99.95500545,97.20805544,92.14551389,103.1262571,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,100,100,100,100,100,100
1976,111.0958049,108.4634037,106.2709256,112.8400656,108.9309904,103.1677931,96.87419524,110.1773303,112.8505719,106.3045391,92.47432848,124.3771024,107.329119,101.6164502,95.94904866,107.9683155,102.3768849,101.9994618,98.32381394,106.7275499,112.0505503,107.8874857,104.1557729,113.0399342,93.60276912,95.60038091,89.97988217,102.1750829,102.3395674,102.5802117,100.2121215,105.4117535,90.79576815,104.9847473,98.0821405,111.7192393,100.5561137,101.7787338,93.4601373,109.7269971,91.45498123,95.0201636,90.54711432,97.87225469,114.8135301,108.1765981,103.1314132,113.5676873,,,,98.01065,100.72792,100.19092,103.02874,94.53129,97.05902
1977,113.4589214,107.732928,105.3679399,112.0849801,111.5897171,102.8845916,96.05952416,110.6695939,114.9887366,106.60416,92.30163933,125.5432824,110.2920767,101.0091689,95.20878846,108.3943941,107.28144,99.71483238,95.79692415,104.7054388,110.6109176,103.3537237,99.44048545,108.8496591,101.7387756,94.22997158,88.32691458,101.9522903,107.728206,103.3211404,99.62616424,108.0096891,109.7382192,104.6981029,93.54390961,116.1667434,105.123003,102.9521074,91.71546072,115.8511763,85.73075561,90.00630836,81.73914948,94.96397226,126.5499787,113.4912677,105.1532135,123.7752096,,,,98.74706,102.43297,103.27788,107.45531,91.73101,94.68646
