RSPB,County,Species,Mean 2021,Rank 2021,% Gardens 2021,,Mean 2020,Rank 2020,% Gardens 2020,,% Change,Rank Change,% change in % gardens recorded,
ESRO,Aberdeen City,House_sparrow,5.695,1,74.6,,6.227,1,73.9,,-8.5,0,1.0,
ESRO,Aberdeen City,Starling,2.586,2,36.2,,2.931,2,35.4,,-11.8,0,2.3,
ESRO,Aberdeen City,Blackbird,2.584,3,88.8,,2.026,4,84.2,,27.5,1,5.4,
ESRO,Aberdeen City,Blue_tit,2.086,4,73.9,,1.672,5,69.1,,24.8,1,7.0,
ESRO,Aberdeen City,Feral_pigeon,1.907,5,36.4,,2.172,3,36.0,,-12.2,-2,1.3,
ESRO,Aberdeen City,Woodpigeon,1.893,6,71.0,,1.456,7,58.1,,30.0,1,22.2,
ESRO,Aberdeen City,Robin,1.510,7,89.2,,1.164,9,79.9,,29.8,2,11.6,
ESRO,Aberdeen City,Magpie,1.263,8,59.7,,1.268,8,58.5,,-0.4,0,2.1,
ESRO,Aberdeen City,Chaffinch,1.062,9,34.2,,0.927,10,28.1,,14.5,1,21.5,
ESRO,Aberdeen City,Great_tit,1.034,10,45.7,,0.633,12,34.5,,63.4,2,32.6,
ESRO,Aberdeen City,Coal_tit,0.964,11,44.6,,0.605,14,32.8,,59.3,3,36.1,
ESRO,Aberdeen City,Goldfinch,0.952,12,21.0,,1.547,6,24.4,,-38.5,-6,-13.8,
ESRO,Aberdeen City,Dunnock,0.678,13,34.6,,0.607,13,33.5,,11.6,0,3.3,
ESRO,Aberdeen City,Carrion_crow,0.674,14,29.3,,0.758,11,29.8,,-11.1,-3,-1.6,
ESRO,Aberdeen City,Long_tailed_tit,0.658,15,15.3,,0.577,15,14.2,,14.1,0,7.8,
ESRO,Aberdeen City,Jackdaw,0.500,16,18.2,,0.464,16,17.2,,7.7,0,6.2,
ESRO,Aberdeen City,Greenfinch,0.271,17,12.0,,0.297,17,10.6,,-8.7,0,12.4,
ESRO,Aberdeen City,Herring_gull,0.270,18,10.0,,0.219,18,10.0,,23.2,0,-0.5,
ESRO,Aberdeen City,Wren,0.193,19,16.2,,0.135,20,12.1,,43.5,1,34.2,
ESRO,Aberdeen City,Collared_dove,0.156,20,8.1,,0.218,19,10.2,,-28.2,-1,-21.0,
ESRO,Aberdeen City,Tree_sparrow,0.103,21,2.4,,0.107,21,1.6,,-4.3,0,47.2,
ESRO,Aberdeen City,Siskin,0.094,22,3.5,,0.023,32,1.6,,306.9,10,114.6,
