Species name,Lat,Long,ICES code,SearchHour,EncountRate
Atlantic White,63.87628741,-22.59450201,56C71,12.21882971,2.127863357
Atlantic White,64.30552242,-22.68981151,57C73,13.66605581,0.146348005
Atlantic White,57.07186939,-14.54179642,42D51,13.40485856,0.372999087
Atlantic White,54.82518515,-13.90751311,38D54,16.58874802,0.542536422
Atlantic White,57.09014988,-14.0154768,42D52,38.65838581,1.319248048
Atlantic White,57.31984899,-13.97621229,43D54,49.74414004,1.366995187
Atlantic White,57.34896437,-13.33289308,43D63,46.27331959,0.453825232
Atlantic White,57.60242099,-13.6105827,43D61,69.64382172,3.259442035
Atlantic White,55.65188865,-12.82199838,40D64,13.39154543,0.746739803
Atlantic White,57.65460986,-12.81301816,44D64,30.88256635,0.259045829
Atlantic White,58.05647691,-12.80723869,44D62,34.19601031,0.146215888
Atlantic White,57.77865118,-12.42564871,44D73,26.34437185,0.037958772
Atlantic White,58.00584919,-12.34497795,44D71,40.3295634,0.173569942
Atlantic White,47.73623817,-11.86494536,24D74,76.37538852,0.065466115
Atlantic White,56.24815144,-12.14496267,41D74,4.641908359,1.292571834
Atlantic White,57.74810691,-11.95356746,44D74,13.16626585,0.455710075
Atlantic White,59.90330361,-12.24810731,48D72,2.555441178,1.565287448
Atlantic White,57.12169373,-11.31294323,42D81,16.05426676,0.685176107
Atlantic White,58.2789857,-11.47456001,45D83,8.24646073,1.455169726
Atlantic White,62.5461157,-11.42564251,53D81,7.771235608,1.158116991
Atlantic White,62.40900212,-10.78985523,53D82,8.959792777,5.580486206
Atlantic White,50.78562966,-10.57308149,30D93,61.27312962,0.06528147
Atlantic White,50.93854625,-10.37356384,30D91,55.73011669,0.089718097
Atlantic White,61.00754319,-10.40418242,50D91,19.37413915,0.103230393
Atlantic White,48.60329962,-9.821258682,25D92,37.67332936,0.345071705
Atlantic White,62.56423102,-9.795446916,53D92,12.78142134,2.581872479
Atlantic White,48.55788115,-9.258001331,25E01,205.8339518,0.043724565
Atlantic White,51.59233555,-9.617988357,31E01,532.8785101,0.075064014
Atlantic White,55.30803834,-9.723531936,39E03,21.06258879,0.284865268
Atlantic White,55.60727073,-9.254007822,39E01,21.80687299,0.275142612
Atlantic White,56.78405426,-9.379356415,42E03,110.7911591,0.036103964
Atlantic White,58.65728774,-9.613548438,46E03,187.712291,0.010654603
Atlantic White,58.89911557,-9.349476927,46E01,122.9076703,0.040680944
Atlantic White,59.28966452,-9.431079548,47E03,59.34459921,0.134805864
Atlantic White,60.19146584,-9.429153849,49E03,28.96135651,0.379816463
Atlantic White,60.85823173,-9.432963675,50E03,102.1676747,0.019575663
Atlantic White,55.71331735,-9.021173369,40E04,43.77974987,0.159891274
Atlantic White,56.1185871,-8.755853999,40E02,33.72313161,1.03786328
Atlantic White,56.23109269,-8.905029032,41E04,62.15985087,0.096525328
Atlantic White,56.40672916,-8.756488579,41E02,55.16345945,0.090639711
Atlantic White,57.01522307,-9.156419493,42E02,144.6239944,0.28349376
Atlantic White,57.41889899,-9.190999313,43E02,57.01823725,0.157844234
Atlantic White,60.43137802,-8.841393049,49E02,89.88924475,0.055624007
Atlantic White,62.55302074,-8.962541236,53E02,46.12801543,0.0216788
Atlantic White,55.70860256,-8.369783468,40E13,33.94406867,0.117840912
Atlantic White,55.92147502,-8.298944056,40E11,63.33996578,0.347332047
Atlantic White,56.59657911,-8.443017012,41E11,47.40291789,0.295340469
Atlantic White,56.66031865,-8.391321442,42E13,57.20091246,0.419573726
Atlantic White,59.10682788,-8.559791422,46E11,57.95403497,0.138040432
Atlantic White,60.1173331,-8.598711244,48E11,50.79715617,0.078744566
Atlantic White,60.54137765,-8.48294663,49E11,233.2030108,0.330184416
Atlantic White,61.78142101,-8.400454051,52E13,18.01554964,0.166522813
Atlantic White,55.91183324,-8.150891867,40E12,60.9990776,0.180330596
Atlantic White,57.57958576,-8.200268098,43E12,34.22515649,0.233746192
Atlantic White,57.85514453,-7.889468704,44E14,225.6430841,0.093067333
Atlantic White,58.98871471,-7.811677186,46E12,77.18746727,0.025910942
Atlantic White,59.18608237,-8.128457642,47E14,112.6823476,0.106494054
Atlantic White,60.13173604,-7.964798742,49E14,94.93099657,0.052669836
Atlantic White,62.46810364,-8.040413869,53E12,21.0891496,0.047417749
Atlantic White,58.60871315,-7.454185342,45E21,93.62871557,0.032041452
Atlantic White,58.78092862,-7.266970931,46E23,119.7370618,0.091867963
Atlantic White,59.33118606,-7.424437371,47E23,96.25333659,0.207785005
Atlantic White,59.55315715,-7.708721425,47E21,149.9612714,0.066683884
Atlantic White,59.66793051,-7.618696822,48E23,190.7273308,0.220209657
Atlantic White,59.92115166,-7.65909146,48E21,190.3417572,0.593668997
Atlantic White,60.3747692,-7.364315125,49E23,106.7775456,0.028095795
Atlantic White,60.57227332,-7.372944741,49E21,61.53342835,0.032502658
Atlantic White,61.28242963,-7.288523221,51E23,46.01633225,2.260067131
Atlantic White,61.47949602,-7.406126441,51E21,68.96691367,1.812463301
Atlantic White,62.54211379,-7.302796756,53E21,47.46356823,1.790847236
Atlantic White,57.11773439,-6.994993425,42E22,549.8572213,0.010911924
Atlantic White,59.30247535,-6.802426926,47E24,173.078224,1.444433588
Atlantic White,59.79801019,-7.247394344,48E24,186.4013276,0.252144127
Atlantic White,60.09832522,-6.855563558,48E22,199.9594415,0.175035496
Atlantic White,60.29759934,-7.03130144,49E24,73.37906881,0.476975254
Atlantic White,60.4329976,-7.091388276,49E22,65.15194928,0.368369638
Atlantic White,60.95723871,-7.153725172,50E22,56.33772227,3.550019275
Atlantic White,56.91290558,-6.459288744,42E31,396.5084292,0.882705068
