NestBox,Species,ColourRing,Sex,DateFirstEgg,ClutchSize
10b,blue tit,P/R-B,Male,26/04/2008,7
10b,blue tit,R-B/O,Female,26/04/2008,7
11a,great tit,O-G/M,Female,21/04/2008,7
11b,blue tit,G/R-B,Male,26/04/2008,12
11b,blue tit,O/W-M,Female,26/04/2008,12
12a,great tit,O/B,Male,18/04/2008,8
12a,great tit,W/M,Female,18/04/2008,8
12b,great tit,R/Y,Female,17/04/2008,7
13b,blue tit,P/W-R,Female,28/04/2008,9
13b,blue tit,R-B/P,Male,28/04/2008,9
14b,blue tit,W+W,Male,23/04/2008,8
14b,blue tit,W-R/Y,Female,23/04/2008,8
15a,great tit,B/R-B,Male,21/04/2008,8
15a,great tit,G/W,Female,21/04/2008,8
17a,great tit,P/R,Male,08/04/2008,9
17a,great tit,R/B-Y,Female,08/04/2008,9
18b,blue tit,R+B,Male,27/04/2008,7
18b,blue tit,R-B/Y,Female,27/04/2008,7
1a,great tit,O/Y,Male,30/04/2008,7
1a,great tit,P/O,Female,30/04/2008,7
1b,blue tit,P/G-B,Male,16/04/2008,10
1b,blue tit,Y/G-R,Female,16/04/2008,10
20b,blue tit,O/G-B,Male,01/05/2008,8
21b,blue tit,P+W,Male,21/04/2008,9
21b,blue tit,W/Y-B,Female,21/04/2008,9
2b,blue tit,R+G,Male,28/04/2008,8
2b,blue tit,R-W/Y,Female,28/04/2008,8
3a,great tit,Y/B,Male,12/04/2008,6
3b,blue tit,Y/W-R,Male,24/04/2008,8
4a,great tit,P/W,Female,12/04/2008,7
4a,great tit,W/B,Male,12/04/2008,7
4b,blue tit,R-W/R,Female,20/04/2008,8
4b,blue tit,Y+B,Male,20/04/2008,8
5b,blue tit,G-O/B,Male,04/05/2008,6
5b,blue tit,W+B,Female,04/05/2008,6
7b,blue tit,R-B/G,Male,29/04/2008,9
7b,blue tit,W/G-O,Female,29/04/2008,9
8b,great tit,G/W,Female,05/06/2008,6
8b,great tit,O/Y,Male,05/06/2008,6
9a,great tit,G/O,Female,13/04/2008,9
9a,great tit,Y/N,Male,13/04/2008,9
9b,blue tit,B+P,Female,27/04/2008,9
9b,blue tit,W/G-R,Male,27/04/2008,9
