IDObservation,Date,Time,ColourRing,Easting,Northing,PlantSP,HeightCode,Substrate,Behavior
95,09/04/2008,12:25:00,R-B/P,545347,256965,Acer pseudoplatanus,5,Bud,Gleaning
96,10/04/2008,14:55:00,O/G-B,545405,257239,Acer sempervirens,3,Leaf,Searching
98,14/04/2008,11:42:00,R+G,545657,257098,Acer pseudoplatanus 'purpureum',5,Bark,Gleaning
101,17/04/2008,11:26:00,R+G,545641,257096,Acer pseudoplatanus 'purpureum',5,Bud,Gleaning
102,17/04/2008,11:30:00,W/G-O,545642,257097,Acer pseudoplatanus 'purpureum',5,Bark,Gleaning
104,21/04/2008,13:15:00,R+G,545651,257090,Acer pseudoplatanus 'purpureum',5,Leaf,Gleaning
105,21/04/2008,12:53:00,R-W/Y,545649,257091,Acer pseudoplatanus 'purpureum',3,Bud,Gleaning
109,23/04/2008,17:22:00,R+G,545673,257117,Acer platanoides 'Goldsworth Purple',3,Bark,Probing
110,23/04/2008,17:34:00,R+G,545655,257103,Acer pseudoplatanus 'purpureum',5,Leaf,Gleaning
111,23/04/2008,17:26:00,R-W/Y,545670,257118,Acer platanoides 'Goldsworth Purple',3,Bark,Probing
113,28/04/2008,15:30:00,R-W/R,545707,257159,Acer opalus,3,Bud,Gleaning
114,29/04/2008,10:37:00,R+G,545650,257099,Acer pseudoplatanus 'purpureum',3,Bark,Probing
115,29/04/2008,10:32:00,R-B/G,545650,257098,Acer pseudoplatanus 'purpureum',,Leaf,Gleaning
116,29/04/2008,10:35:00,R-W/Y,545651,257096,Acer pseudoplatanus 'purpureum',,Bark,Probing
117,29/04/2008,10:30:00,W/G-O,545652,257097,Acer pseudoplatanus 'purpureum',,Leaf,Gleaning
118,01/05/2008,12:41:00,P/G-B,545545,257149,Acer campestre,5,Leaf,Gleaning
119,01/05/2008,12:58:00,R-B/G,545651,257102,Acer pseudoplatanus 'purpureum',3,Leaf,Gleaning
120,01/05/2008,12:53:00,W/G-O,545650,257099,Acer pseudoplatanus 'purpureum',5,Leaf,Gleaning
122,08/05/2008,12:40:00,P/R-B,545463,257102,Acer saccharium,5,Bark,Gleaning
123,14/05/2008,10:07:00,R+G,545658,257097,Acer pseudoplatanus 'purpureum',5,Bark,Gleaning
124,20/05/2008,11:23:00,Y/W-R,545718,257235,Acer cappadocicum,5,Leaf,Searching
125,23/05/2008,10:04:00,R-B/Y,545615,257210,Acer pseudoplatanus,5,Leaf,Gleaning
126,23/05/2008,11:39:00,Y/W-R,545720,257282,Acer pseudoplatanus,5,Leaf,Searching
127,01/06/2008,13:19:00,P/R-B,545463,257108,Acer saccharium,3,Leaf,Searching
128,02/06/2008,11:35:00,R+B,545613,257211,Acer pseudoplatanus,5,Leaf,Gleaning
129,02/06/2008,11:36:00,R-B/Y,545613,257210,Acer pseudoplatanus,5,Leaf,Gleaning
130,03/06/2008,13:54:00,R+B,545612,257214,Acer pseudoplatanus,5,Leaf,Searching
131,04/06/2008,11:43:00,G/R-B,545418,257027,Acer pseudoplatanus,5,Leaf,Gleaning
134,06/06/2008,17:12:00,O/W-M,545423,257014,Acer pseudoplatanus,5,Leaf,Searching
135,06/06/2008,15:55:00,R+B,545885,257121,Acer pseudoplatanus,5,Leaf,Searching
137,21/04/2008,07:47:00,R+G,545658,257097,Acer pseudoplatanus,,Leaf,Gleaning
138,05/05/2008,09:20:00,P/R-B,545452,257112,Acer campestre,5,Leaf,Gleaning
139,07/05/2008,07:45:00,Y/W-R,545716,257287,Acer,5,Leaf,Gleaning
152,24/04/2008,15:40:00,R-B/P,545243,257168,Aesculus x carnea,5,Bark,Probing
153,22/05/2008,14:12:00,R-B/P,545261,257154,Aesculus flava,5,Leaf,Searching
166,14/04/2008,11:52:00,R+G,545661,257074,Alnus glutinosa,5,Leaf,Gleaning
167,16/04/2008,12:50:00,R+G,545655,257090,Alnus glutinosa,5,Bark,Gleaning
169,05/05/2008,12:45:00,R+G,545642,257081,Alnus glutinosa,5,Leaf,Prey handling
215,21/04/2008,15:37:00,Y/W-R,545698,257234,Anthriscus sylvestris,1,Leaf,Gleaning
216,22/04/2008,12:25:00,O/G-B,545455,257140,Anthriscus sylvestris,1,Flower,Gleaning
217,23/04/2008,17:24:00,R-W/Y,545670,257117,Anthriscus sylvestris,1,Flower,Gleaning
219,28/04/2008,15:25:00,R+B,545686,257143,Anthriscus sylvestris,1,Leaf,Gleaning
220,28/04/2008,10:45:00,R-B/O,545439,257122,Anthriscus sylvestris,1,Leaf,Gleaning
221,28/04/2008,15:25:00,R-B/Y,545684,257142,Anthriscus sylvestris,1,Leaf,Gleaning
