PlantID,PlantSP,Genus,Native,Type
1,Abelia triblora,Abelia,No,Shrub
2,Abies homolepis,Abies,No,Tree
3,Acer cappadocicum,Acer,No,Tree
4,Acer carpinifolium,Acer,No,Shrub
5,Acer circinatum,Acer,No,Tree
6,Acer Davidii,Acer,No,Shrub
7,Acer Davidii spp grosseri,Acer,No,Shrub
8,Acer floridanum,Acer,No,Tree
9,Acer griseum,Acer,No,Tree
10,Acer heldreichii,Acer,No,Shrub
11,Acer lobellii,Acer,No,Tree
12,Acer monspessulanum,Acer,No,Tree
13,Acer obtusatum,Acer,No,Tree
14,Acer opalus,Acer,No,Tree
15,Acer saccharium,Acer,No,Tree
16,Acer sempervirens,Acer,No,Tree
17,Acer tataricum,Acer,No,Tree
18,Acer velutinum,Acer,No,Tree
19,Aesculus flava,Aesculus,No,Tree
20,Aesculus indica,Aesculus,No,Tree
21,Aesculus neglecta,Aesculus,No,Tree
22,Aesculus neglecta 'Erythroblastos',Aesculus,No,Tree
23,Aesculus pavia,Aesculus,No,Shrub
24,Aesculus x carnea,Aesculus,No,Tree
25,Alianthus altissima,Alianthus,No,Tree
26,Alnus cordata,Alnus,No,Tree
27,Alnus subcordata,Alnus,No,Tree
28,Amelanchier florida,Amelanchier,No,Shrub
29,Arbutus unedo,Arbutus,No,Shrub
30,Berberis bretschneideri,Berberis,No,Shrub
31,Berberis crataegina,Berberis,No,Shrub
32,Berberis francisci-ferdinandi,Berbis,No,Tree
33,Berberis hakeoides,Berberis,No,Shrub
34,Berberis jamesiana,Berberis,No,Shrub
35,Berberis ludlowii var. deleica,Berberis,No,Shrub
36,Berberis x lologensis,Berberis,No,Shrub
37,Betula alleghaniensis,Betula,No,Tree
38,Betula celtiberica,Betula,No,Tree
39,Betula ermanii,Betula,No,Tree
40,Betula Hergest,Betula,No,Tree
41,Betula platyphylla,Betula,No,Tree
42,Betula szechuaniaca,Betula,No,Tree
43,Betula szechuanica,Betula,No,Tree
44,Betula utahensis,Betula,No,Tree
45,Betula utilis,Betula,No,Tree
46,Betula utilis var. jacquemontii,Betula,No,Tree
47,Buddleja x wegeriana 'Golden Glow',Buddleja,No,Shrub
48,Carpinus caroliniana,Carpinus,No,Shrub
49,Carpinus orientalis,Carpinus,No,Shrub
50,Carya cordiformis,Carya,No,Tree
51,Castanea sativa,Castanea,No,Tree
52,Catalpa bignonioides,Catalpa,No,Tree
53,Catalpa erubescens,Catalpa,No,Tree
54,Catalpa ovata,Catalpa,No,Tree
55,Catalpa speciosa,Catalpa,No,Tree
56,Catalpa x erubescens,Catalpa,No,Tree
57,Cedrus atlantica,Cedrus,No,Tree
58,Cedrus deodara,Cedrus,No,Tree
59,Cedrus libani,Cedrus,No,Tree
60,Celtis occidentalis,Celtis,No,Tree
61,Cercis siliquastrum,Cercis,No,Tree
62,Chaenomeles speciosa,Chaenomeles,No,Shrub
63,Chamaecyparis lawsoniana,Chameacyparis ,No,Tree
64,Chamaecyparis lawsoniana 'Allumii',Chameacyparis ,No,Tree
65,Chamaecyparis lawsoniana 'Triomphe de Boskoop',Chameacyparis ,No,Tree
66,Chimonanthus praecox var praecox,Chimonanthus,No,Shrub
67,Cornus controversa,Cornus,No,Tree
68,Cornus 'Norman Hadden',Cornus,No,Shrub
69,Cornus rugosa,Cornus,No,Shrub
70,Corylus colurna,Corylus,No,Tree
71,Corylus maxima,Corylus,No,Shrub
72,Cotinus coggygria,Cotinus,No,Shrub
73,Cotinus coggygria x obovatus 'Flame',Cotinus,No,Shrub
74,Cotoneaster,Cotoneaster,No,Shrub
75,Cotoneaster acuminatus,Cotoneaster,No,Shrub
76,Cotoneaster bullatus f. floribundus,Cotoneaster,No,Shrub
77,Cotoneaster divaricatus,Cotoneaster,No,Shrub
