"Date Added",Title,Type,"Item Link","Local Control Number",ISBN10,ISBN13,ISSN,EISSN,DOI,Importance,"Note for Student"
"05/09/2018 14:37:06","Song of the Dodo",Book,http://readinglists.anglia.ac.uk/items/ACB35B99-0BA9-29C7-825A-14B330D12226.html,992823680102051,,9780091801960,,,,"Background Reading",
"05/09/2018 14:37:14","Sustainable Energy - without the hot air",Book,http://readinglists.anglia.ac.uk/items/0D84665D-099B-BE40-1EF9-A3FE6DEB44DA.html,998813734202051,,9780954452933,,,,"Background Reading",
"13/07/2016 13:10:46","Conservation Biology for All",Book,http://readinglists.anglia.ac.uk/items/F700AC73-E8E2-79BA-F8DF-0FF0AC2935A1.html,995576390102051,,9780199554232,,,,"Recommended Reading",
"18/09/2015 16:44:02","Problem-solving in conservation biology and wildlife management",Book,http://readinglists.anglia.ac.uk/items/B9C1DC78-5DC6-AD80-31F9-5DF76A0E4B7C.html,994443270102051,1405152877,9781405152877,,,,"Background Reading",
"18/09/2015 16:44:37","Ecology of woodlands and forests: description, dynamics and diversity",Book,http://readinglists.anglia.ac.uk/items/814D3E69-67F3-98CF-6734-582946E6E03B.html,994887380102051,,"9780521834520 9780521542319",,,,"Background Reading",
"18/09/2015 16:44:08","Wildlife ecology, conservation, and management",Book,http://readinglists.anglia.ac.uk/items/7B488BAD-A454-A2C5-D23D-B94D4034D8B7.html,998800487702051,,9781118291078,,,,"Background Reading","Library note: we also have the 2nd edition 2014 - print and e-book]"
"18/09/2015 16:43:43","Evolutionary conservation biology",Book,http://readinglists.anglia.ac.uk/items/134D6B2E-EC7B-8456-ACA6-B28B2A577FF7.html,994119850102051,0521827000,,,,,"Background Reading",
"18/09/2015 16:43:54","Key Topics in Conservation Biology 2",Book,http://readinglists.anglia.ac.uk/items/D778F966-03A0-05DE-EFC8-C1905DCFF811.html,5133765380002051,"0470658762 0470658754",,,,,"Background Reading",
"18/09/2015 16:44:45","Tropical forest community ecology",Book,http://readinglists.anglia.ac.uk/items/AA1518F4-A331-1C19-F0AB-1438E70A8E3F.html,995264000102051,,9781405118972,,,,"Background Reading",
"18/09/2015 16:44:34","Tropical rain forest ecology, diversity, and conservation",Book,http://readinglists.anglia.ac.uk/items/6A40E4C7-368F-6AF2-183B-35CE49BF6066.html,997585820102051,,"9780199285884 9780199285877",,,,"Background Reading",
"18/09/2015 16:44:24","Forest ecology and conservation: a handbook of techniques",Book,http://readinglists.anglia.ac.uk/items/8C9EF1E5-DCCE-155F-7989-C357086465E0.html,2118494320002051,,"9780198567448 9780198567455",,,,"Background Reading",
"18/09/2015 16:47:30","Conservation biology: the journal of the Society for Conservation Biology",Journal,http://readinglists.anglia.ac.uk/items/EFE8441E-2E08-3926-EF92-D047EC382A42.html,5125960290002051,,,0888-8892,,,,
"18/09/2015 16:47:25","Biological conservation",Journal,http://readinglists.anglia.ac.uk/items/9F8A4D8B-B9E2-ABD7-50CC-F6864226E53C.html,2124100440002051,,,0006-3207,,,,
"18/09/2015 16:47:06","Trends in ecology & evolution",Journal,http://readinglists.anglia.ac.uk/items/EE5C5FAE-2E2E-4E0D-C741-AC17638BD1A8.html,5125617440002051,,,0169-5347,,,,
"18/09/2015 16:48:13","Forest ecology and management",Journal,http://readinglists.anglia.ac.uk/items/B383A33C-DB8F-F177-390A-00D359F12D38.html,5125922190002051,,,0378-1127,,,,
"18/09/2015 16:48:08","Global change biology: Bioenergy",Journal,http://readinglists.anglia.ac.uk/items/87EB9FAB-DDD5-1CA7-6FE9-B7DE42FD15B8.html,5125705080002051,,,1757-1693,,,,
"18/09/2015 16:48:01","The journal of applied ecology",Journal,http://readinglists.anglia.ac.uk/items/1B25D7F7-AFBC-9C22-5C26-EEE96BCA92C6.html,5125067970002051,,,0021-8901,,,,
"18/09/2015 16:47:13",Nature,Journal,http://readinglists.anglia.ac.uk/items/F7C5A8D1-932E-F2F5-F0AB-A86551151195.html,5125462620002051,,,0028-0836,,,,
"18/09/2015 16:47:19",Science,Journal,http://readinglists.anglia.ac.uk/items/D3EEDF66-50F8-FCB4-ACBC-B08005AEF06B.html,5130088110002051,,,0193-4511,,,,"[Library note: we have a print-only subscription to Science. It is shelved on the 1st floor at Cambridge]"
"18/09/2015 16:47:01","Population ecology",Journal,http://readinglists.anglia.ac.uk/items/B1F3107A-6E74-3CEA-104E-8F190BE49C89.html,5134562560002051,,,1438-3896,,,,
