"Date Added",Title,Type,"Item Link","Local Control Number",ISBN10,ISBN13,ISSN,EISSN,DOI,Importance,"Note for Student"
"13/01/2021 18:52:50","Elements of ecology",Book,http://readinglists.anglia.ac.uk/items/34C1B398-CD03-1ED8-F398-C17A6A82E3D6.html,998882125002051,1292077409,9781292077406,,,,"Essential Reading","It is best to access this book from Kortext (eTextbooks link on Canvas). This is the main text book that we will use during trimester 2."
"01/02/2021 20:37:45","The Devil's Dyke: its wildlife, history and restoration",Article,http://readinglists.anglia.ac.uk/items/7A4E962F-6857-B377-C892-9D257A2426DF.html,,,,0958-0956,,,"Essential Reading",
"13/01/2021 18:32:35","Artemia salina: an easily cultured invertebrate ideally suited for ecological studies",Article,http://readinglists.anglia.ac.uk/items/0AC2D4A7-47D4-9B33-F9D0-5665F1E6FC96.html,,,,0021-9266,2157-6009,,"Background Reading","Less important in 2020-21"
"13/01/2021 18:37:45","Salinity Effects on Survival, Growth and Morphometry of Four Egyptian Artemia Populations (International Study on Artemia. LXVII)",Article,http://readinglists.anglia.ac.uk/items/1747E4BC-82A6-B31F-B645-8F274D6F0D10.html,,,,,,10.1023/B:HYDR.0000033124.49676.5c,"Background Reading","Less important in 2020-21"
"13/01/2021 18:35:53","Ecology: from individuals to ecosystems",Book,http://readinglists.anglia.ac.uk/items/236E5F92-9B75-59F5-F846-03BC66A654D7.html,994171160102051,1405111178,9781405111171,,,,"Recommended Reading","[Note from library] The View Online link leads to the eBook of the 5th edition."
"13/01/2021 18:36:38","Ecology: the experimental analysis of distribution and abundance",Book,http://readinglists.anglia.ac.uk/items/C1A4A589-2E42-ED25-8628-9DE8E8C121C0.html,997648930102051,,9781292038667,,,,"Recommended Reading",
"20/08/2014 15:45:14","Wildlife ecology, conservation, and management",Book,http://readinglists.anglia.ac.uk/items/DA491930-0DF2-7803-7FF1-8DFD03D6C029.html,998800487702051,,9781118291078,,,,"Recommended Reading",
"13/01/2021 18:56:10","Ecology: concepts and applications",Book,http://readinglists.anglia.ac.uk/items/761072F2-E5D9-1FD2-70A0-E1119B1EB8FE.html,998883411902051,,9781259254550,,,,"Recommended Reading",
"13/01/2021 18:33:32",Ecology,Book,http://readinglists.anglia.ac.uk/items/95C7F6D0-4DB8-5366-BDC0-52D6EFFDE8F4.html,2122545480002051,,9781859962572,,,,"Background Reading",
"13/01/2021 18:33:55","Ecology: the economy of nature",Book,http://readinglists.anglia.ac.uk/items/EC00EAD5-94E4-4DC5-1BEC-08EF3512B172.html,998818340102051,1429249951,9781429249959,,,,"Background Reading",
